tag,mean_acc,mean_mf1,wall_s,f1_N,f1_S,f1_V,f1_F,f1_Q
all_features_smote,0.9013340222697858,0.33015013804386956,129.6,0.9474336820045451,0.07311437126630858,0.6255405351841508,0.004662101764343426,0.0
only_temporal,0.9046241040924271,0.37097385855121406,73.4,0.9494850924596719,0.1573480976684092,0.7231670817393726,0.024869020888616724,0.0
only_amplitude,0.7838159564529082,0.24832106243486043,86.5,0.8734134006740684,0.012391530982368873,0.35383959620413946,0.00196078431372549,0.0
only_morph,0.7291024098698845,0.23347860323220856,90.6,0.8429422063086118,0.06042330525841346,0.26011523253673335,0.003912272057284122,0.0
only_lead0,0.8944951833577922,0.33302115181089126,108.6,0.9451266204919234,0.08278883687097442,0.6162119411065927,0.020978360584965734,0.0
only_lead1,0.8850237036443662,0.3336289738303279,112.3,0.9415427522247345,0.06430918913494567,0.6255851844355189,0.036707743356440566,0.0
no_smote,0.9127749412505205,0.3037093559227873,18.3,0.9533116408768619,0.009696889790786504,0.555538248946288,0.0,0.0
borderline,0.9011296129702266,0.32218903905449237,133.4,0.9475573408882566,0.05155463240582862,0.6088643606153544,0.002968861363021947,0.0
smote_hmm,0.8821321680785568,0.2077672245731447,180.0,0.9375016553512001,0.0,0.10133446751452335,0.0,0.0
drop_Q,0.9042424246435345,0.3447432751024899,123.6,0.9498451786657535,0.09761360996455615,0.6721168001326578,0.004140786749482401,0.0
extended,0.9228081294753688,0.35022958962944956,260.1,0.960784830805411,0.10075033946715362,0.6896127778746831,0.0,0.0
